rpm,throttle,egt,cht,oil_temp,egt_residual,cht_residual,label
3000.04,0.3836,682.04,293.43,151.83,1.86,5.32,LUBRICATION_ISSUE
3800.19,0.7243,923.89,436.38,183.51,-0.69,1.63,NORMAL
3740.4,0.6899,902.94,431.62,210.62,1.97,11.04,LUBRICATION_ISSUE
3594.53,0.6375,895.34,412.2,173.77,33.1,14.85,OVERHEATING
4140.15,0.8378,1010.91,498.77,229.55,1.21,12.95,LUBRICATION_ISSUE
3225.95,0.4913,758.68,337.56,173.1,2.58,3.9,LUBRICATION_ISSUE
4019.2,0.8217,985.37,476.34,201.46,-8.62,-0.06,NORMAL
3055.0,0.4322,737.14,331.49,144.78,25.08,24.25,OVERHEATING
4163.73,0.8619,1020.61,502.53,228.53,-4.71,7.34,LUBRICATION_ISSUE
3939.43,0.8082,1015.27,480.82,200.99,33.37,11.69,OVERHEATING
3148.92,0.4612,776.94,344.27,151.25,42.76,23.76,OVERHEATING
2869.38,0.3576,657.95,271.53,129.16,-0.07,-3.28,NORMAL
3449.75,0.5743,818.83,379.98,189.74,1.75,9.73,LUBRICATION_ISSUE
3647.82,0.6303,864.19,400.17,203.24,3.59,3.81,LUBRICATION_ISSUE
3781.81,0.6987,913.18,421.85,181.78,4.86,-3.14,NORMAL
3426.64,0.5498,850.22,375.06,162.75,48.98,14.32,OVERHEATING
3876.19,0.7365,936.94,445.84,215.21,1.26,4.43,LUBRICATION_ISSUE
3582.09,0.626,858.1,394.73,171.92,3.41,1.91,NORMAL
4406.11,0.9471,1089.59,530.73,198.39,1.01,-2.41,NORMAL
3284.49,0.507,796.45,363.05,159.99,28.0,21.98,OVERHEATING
3080.76,0.4314,755.2,332.32,147.06,42.31,24.58,OVERHEATING
3047.11,0.3986,694.54,298.32,137.29,3.0,3.39,NORMAL
3037.54,0.4074,735.11,323.98,141.9,38.8,26.19,OVERHEATING
3875.4,0.7601,950.08,447.75,185.58,0.26,-2.14,NORMAL
4280.53,0.937,1075.97,523.13,201.0,-0.27,-2.61,NORMAL
3998.6,0.8253,1025.4,506.18,202.88,30.27,29.11,OVERHEATING
3325.93,0.5424,791.75,362.93,177.55,0.0,7.88,LUBRICATION_ISSUE
3030.45,0.4226,704.63,303.66,141.3,-0.42,0.63,NORMAL
3373.68,0.5547,810.98,365.38,178.46,9.45,4.46,LUBRICATION_ISSUE
3159.27,0.4708,742.39,329.53,172.77,1.93,5.26,LUBRICATION_ISSUE
3766.67,0.711,910.95,428.13,183.38,-3.98,-0.83,NORMAL
3802.88,0.7179,926.53,438.56,206.24,5.63,6.02,LUBRICATION_ISSUE
3325.27,0.5435,793.29,355.96,159.98,0.96,0.56,NORMAL
3593.14,0.6239,852.03,394.28,171.82,-1.95,1.9,NORMAL
3958.56,0.7898,1001.1,475.26,199.75,29.31,12.19,OVERHEATING
3180.44,0.471,783.53,342.99,151.2,41.89,18.01,OVERHEATING
3346.15,0.5414,789.48,362.6,187.02,-2.68,7.3,LUBRICATION_ISSUE
3386.62,0.5515,828.79,379.7,162.08,28.56,19.56,OVERHEATING
3364.27,0.5407,793.4,354.88,159.08,0.8,-0.68,NORMAL
3928.96,0.7763,984.94,469.35,196.34,22.71,12.0,OVERHEATING
3495.14,0.5892,863.35,389.86,167.7,35.08,12.9,OVERHEATING
3622.84,0.66,881.9,416.41,193.61,4.77,10.14,LUBRICATION_ISSUE
3716.52,0.6981,932.29,433.5,186.88,27.59,10.68,OVERHEATING
3679.0,0.6711,888.26,415.66,176.59,1.68,3.71,NORMAL
3660.07,0.6568,874.53,411.22,175.81,-2.55,4.97,NORMAL
4046.97,0.8327,997.95,478.07,200.99,-4.0,-3.1,NORMAL
3773.54,0.7149,915.55,440.43,210.49,-2.07,9.86,LUBRICATION_ISSUE
3594.68,0.6381,900.53,417.0,176.9,37.91,19.43,OVERHEATING
3415.33,0.5464,840.67,380.31,161.81,42.04,21.14,OVERHEATING
3250.19,0.5055,796.45,357.51,157.96,30.62,18.01,OVERHEATING
3829.85,0.7389,931.36,442.6,187.59,-3.47,1.7,NORMAL
3129.71,0.4402,725.43,310.89,143.5,4.81,-1.48,NORMAL
3423.03,0.5584,805.59,362.31,160.24,-0.62,-1.42,NORMAL
3473.0,0.573,868.24,401.08,165.51,50.79,30.61,OVERHEATING
3506.45,0.6013,865.31,397.18,170.34,29.2,15.51,OVERHEATING
3632.76,0.6437,867.32,407.73,198.06,-0.54,7.02,LUBRICATION_ISSUE
3485.98,0.599,840.01,391.7,182.92,6.31,11.48,LUBRICATION_ISSUE
3809.65,0.7363,960.96,453.66,194.54,28.68,14.29,OVERHEATING
2877.55,0.3567,659.35,283.91,153.28,1.46,9.18,LUBRICATION_ISSUE
3847.3,0.7217,931.77,440.39,199.45,6.38,5.16,LUBRICATION_ISSUE
3600.91,0.6279,861.37,400.44,190.37,4.56,6.35,LUBRICATION_ISSUE
3699.51,0.6759,889.4,411.71,180.47,-1.11,-2.6,NORMAL
4120.53,0.8512,1017.46,496.7,233.48,0.72,6.65,LUBRICATION_ISSUE
3019.31,0.4039,699.49,300.87,165.61,6.21,4.9,LUBRICATION_ISSUE
3952.41,0.7724,964.81,462.03,208.01,3.74,5.39,LUBRICATION_ISSUE
3751.06,0.6904,901.88,421.57,180.35,0.09,0.5,NORMAL
3477.63,0.5838,860.65,392.68,165.59,36.48,18.17,OVERHEATING
4027.54,0.8112,990.95,476.14,228.38,2.85,3.28,LUBRICATION_ISSUE
3291.25,0.52,777.39,346.82,154.55,0.81,0.87,NORMAL
3758.8,0.704,916.5,430.45,201.49,6.16,4.25,LUBRICATION_ISSUE
3022.12,0.4137,700.88,298.57,141.03,1.57,-1.02,NORMAL
3738.46,0.6989,927.65,442.62,181.61,21.38,18.85,OVERHEATING
4144.36,0.8529,1021.09,492.37,201.29,2.15,1.0,NORMAL
4174.71,0.8623,1028.92,501.29,230.63,2.78,5.6,LUBRICATION_ISSUE
3598.71,0.6532,906.69,430.1,178.67,34.85,26.99,OVERHEATING
3602.09,0.6466,872.51,408.13,200.9,4.41,7.27,LUBRICATION_ISSUE
4009.67,0.7932,1024.69,488.44,202.01,48.3,22.61,OVERHEATING
3139.03,0.4544,764.73,339.03,149.81,35.16,21.28,OVERHEATING
3242.05,0.4852,751.35,328.1,151.24,-1.85,-3.82,NORMAL
3182.3,0.4687,735.66,324.4,147.67,-4.69,0.19,NORMAL
4193.72,0.8735,1069.95,517.78,203.13,36.18,17.52,OVERHEATING
3373.16,0.5577,825.94,375.49,165.41,22.69,13.54,OVERHEATING
4113.45,0.8372,1007.06,485.44,199.8,-0.93,0.65,NORMAL
2989.72,0.3878,686.66,292.07,166.49,4.48,2.76,LUBRICATION_ISSUE
3231.81,0.4682,741.58,332.45,176.04,-0.92,6.94,LUBRICATION_ISSUE
3724.09,0.6937,900.03,422.31,179.27,-2.37,0.87,NORMAL
4154.39,0.8746,1034.06,505.62,216.66,1.57,6.13,LUBRICATION_ISSUE
2961.55,0.3953,681.42,295.48,155.05,-3.85,4.33,LUBRICATION_ISSUE
3143.31,0.4518,768.05,330.06,151.31,39.8,13.11,OVERHEATING
3848.2,0.7305,932.48,438.14,186.65,1.77,-0.28,NORMAL
3618.45,0.6392,864.64,409.94,193.84,0.22,11.29,LUBRICATION_ISSUE
4272.71,0.9083,1093.78,534.47,201.23,35.16,19.29,OVERHEATING
3730.35,0.7093,920.69,428.74,206.41,8.57,1.46,LUBRICATION_ISSUE
3108.79,0.4353,757.59,323.56,145.55,40.99,13.6,OVERHEATING
3877.45,0.7476,947.71,446.21,189.07,5.28,0.74,NORMAL
4063.32,0.8339,1041.02,503.26,203.67,37.5,21.15,OVERHEATING
3241.76,0.4878,754.21,331.55,152.93,-0.54,-1.3,NORMAL
3071.05,0.4304,708.12,316.42,169.66,-3.67,9.34,LUBRICATION_ISSUE
3383.95,0.5532,826.39,379.39,165.33,25.29,18.73,OVERHEATING
3806.72,0.736,935.06,451.64,203.79,3.14,12.49,LUBRICATION_ISSUE
2963.73,0.3986,684.89,295.42,138.07,-2.45,3.02,NORMAL
3688.32,0.6854,896.16,416.67,180.01,0.49,-0.73,NORMAL
2835.34,0.3297,638.03,263.5,124.87,-1.58,-0.26,NORMAL
3521.65,0.6203,853.69,395.31,199.64,5.44,6.36,LUBRICATION_ISSUE
3573.36,0.6175,890.84,412.11,171.25,41.66,22.6,OVERHEATING
3805.49,0.7192,971.18,458.17,185.51,49.37,25.08,OVERHEATING
3440.72,0.5648,811.06,367.0,163.79,0.15,0.46,NORMAL
2993.45,0.404,728.97,322.08,142.41,36.87,26.82,OVERHEATING
3784.37,0.7041,941.77,453.72,184.25,30.08,26.7,OVERHEATING
3691.83,0.6839,895.63,420.57,179.56,0.69,3.6,NORMAL
4192.05,0.8847,1080.55,520.64,205.91,40.13,16.4,OVERHEATING
3728.04,0.6901,904.68,424.36,208.35,4.22,4.08,LUBRICATION_ISSUE
3309.26,0.506,768.02,343.21,154.16,-1.06,1.77,NORMAL
3659.82,0.6818,890.28,419.95,209.51,-1.79,4.71,LUBRICATION_ISSUE
3583.33,0.6346,861.1,394.47,172.26,1.18,-1.48,NORMAL
2825.15,0.3154,635.35,255.21,126.5,4.87,-3.07,NORMAL
3139.11,0.4297,754.29,321.54,147.08,39.5,12.67,OVERHEATING
3929.52,0.7553,987.21,473.49,191.35,37.55,23.69,OVERHEATING
4140.37,0.8312,1003.7,486.93,200.3,-2.07,3.47,NORMAL
3319.85,0.5555,806.72,368.37,190.85,7.4,8.78,LUBRICATION_ISSUE
4342.87,0.9377,1108.46,547.93,204.19,28.67,20.06,OVERHEATING
3369.15,0.5628,853.75,380.96,164.63,47.59,17.27,OVERHEATING
3839.83,0.7275,927.66,443.18,216.85,-0.85,6.07,LUBRICATION_ISSUE
2955.73,0.3832,679.95,290.14,158.47,2.24,3.51,LUBRICATION_ISSUE
3955.46,0.7583,951.18,451.0,191.07,-1.59,-0.67,NORMAL
3325.71,0.5292,784.94,353.05,180.9,1.15,2.78,LUBRICATION_ISSUE
3057.39,0.4071,697.46,307.72,159.52,0.34,9.45,LUBRICATION_ISSUE
4055.5,0.8161,1030.85,495.6,202.54,38.39,20.13,OVERHEATING
3285.6,0.5059,793.1,356.12,161.56,25.27,15.42,OVERHEATING
3585.3,0.631,855.5,397.22,202.0,-2.35,2.51,LUBRICATION_ISSUE
3217.71,0.5039,767.19,338.53,151.02,3.96,0.6,NORMAL
3196.01,0.4803,743.91,330.85,146.88,-4.07,2.07,NORMAL
3948.21,0.7719,964.18,456.77,193.38,3.65,0.45,NORMAL
3244.21,0.4915,759.26,335.11,150.53,2.15,0.84,NORMAL
2980.73,0.4192,727.68,325.49,143.64,27.13,25.16,OVERHEATING
3378.56,0.5525,801.71,363.57,190.06,1.3,3.32,LUBRICATION_ISSUE
3941.6,0.7905,993.93,488.52,194.92,22.57,25.7,OVERHEATING
4144.07,0.8548,1055.53,521.72,198.27,35.44,29.66,OVERHEATING
4329.32,0.9415,1083.83,529.26,200.03,2.47,0.45,NORMAL
2967.47,0.3796,681.79,289.63,156.29,5.67,3.96,LUBRICATION_ISSUE
3036.48,0.4065,722.37,317.45,138.74,26.63,20.01,OVERHEATING
3720.23,0.6858,895.51,419.35,179.53,-1.99,0.85,NORMAL
3058.88,0.4239,705.68,302.96,141.62,-1.63,-1.43,NORMAL
2933.8,0.3794,676.95,288.95,153.04,2.65,4.36,LUBRICATION_ISSUE
3797.35,0.7095,945.85,450.04,188.23,30.3,20.71,OVERHEATING
3600.36,0.6381,866.34,399.78,172.83,3.46,2.05,NORMAL
3032.88,0.4262,746.34,315.61,146.39,38.99,11.2,OVERHEATING
4221.76,0.8935,1081.55,528.89,201.65,34.36,20.58,OVERHEATING
3170.14,0.4733,739.32,336.54,180.06,-3.15,11.06,LUBRICATION_ISSUE
3841.95,0.7339,930.1,443.91,184.63,-2.35,4.45,NORMAL
3371.09,0.5549,802.55,359.42,161.43,1.08,-1.46,NORMAL
4038.3,0.7968,1016.87,485.37,199.44,36.87,17.38,OVERHEATING
2796.8,0.3124,631.3,258.08,126.21,3.99,1.69,NORMAL
3585.1,0.6358,911.42,425.31,174.48,50.67,28.86,OVERHEATING
3323.31,0.5342,794.58,361.18,181.55,7.91,9.18,LUBRICATION_ISSUE
4387.82,0.9389,1085.4,529.52,200.36,2.66,-0.13,NORMAL
3807.6,0.7562,942.4,458.15,218.81,-1.7,11.69,LUBRICATION_ISSUE
3888.94,0.7597,945.45,449.65,189.55,-4.83,-0.53,NORMAL
3351.48,0.5548,800.96,367.25,178.21,0.5,6.97,LUBRICATION_ISSUE
3877.88,0.781,998.24,484.41,193.79,35.72,26.9,OVERHEATING
3649.13,0.6638,879.6,405.61,174.98,-1.11,-2.82,NORMAL
4019.15,0.8024,982.46,470.78,197.37,0.06,1.35,NORMAL
3531.47,0.622,902.09,411.22,173.14,52.31,21.35,OVERHEATING
3372.77,0.5498,799.9,360.67,158.21,1.36,1.55,NORMAL
4338.2,0.9353,1081.65,524.12,200.78,3.54,-2.75,NORMAL
4144.51,0.8593,1024.27,503.42,225.06,1.45,9.73,LUBRICATION_ISSUE
3165.25,0.4621,764.53,342.18,148.3,29.03,20.88,OVERHEATING
3912.15,0.7784,1007.04,486.75,195.24,44.38,29.15,OVERHEATING
3018.16,0.4147,698.09,298.58,141.73,-1.67,-1.27,NORMAL
3059.44,0.4107,724.1,324.92,143.27,24.73,25.3,OVERHEATING
3482.3,0.6071,842.92,394.52,188.98,4.56,11.5,LUBRICATION_ISSUE
3979.16,0.7839,971.54,466.68,208.62,2.22,5.09,LUBRICATION_ISSUE
4192.93,0.8852,1075.74,522.7,203.27,34.96,18.23,OVERHEATING
4171.83,0.8745,1037.33,509.51,224.09,4.06,9.55,LUBRICATION_ISSUE
3444.8,0.5692,819.5,370.34,182.01,5.71,2.07,LUBRICATION_ISSUE
3546.37,0.6124,852.52,392.9,185.47,7.77,6.05,LUBRICATION_ISSUE
3087.69,0.4256,744.43,336.23,147.4,34.67,30.38,OVERHEATING
3730.88,0.7067,943.86,446.69,184.03,33.29,20.35,OVERHEATING
2983.51,0.4,691.09,293.92,135.57,1.9,0.41,NORMAL
4339.05,0.9115,1111.0,533.4,201.04,47.17,15.11,OVERHEATING
4226.52,0.8985,1048.22,510.11,201.33,-2.2,-0.14,NORMAL
4126.48,0.8548,1027.35,499.26,227.43,8.16,7.74,LUBRICATION_ISSUE
3953.38,0.7932,976.51,471.11,216.32,2.95,6.97,LUBRICATION_ISSUE
3117.36,0.4562,731.91,322.93,169.55,2.34,5.19,LUBRICATION_ISSUE
3136.84,0.4634,735.19,333.17,175.59,0.32,12.25,LUBRICATION_ISSUE
3034.45,0.4088,701.18,299.49,137.14,4.2,1.3,NORMAL
4151.42,0.8475,1052.62,506.86,204.07,36.56,17.22,OVERHEATING
3122.53,0.4474,759.05,334.35,143.76,34.51,19.62,OVERHEATING
3631.31,0.6396,867.45,401.09,193.51,2.14,1.9,LUBRICATION_ISSUE
3110.91,0.4341,715.28,309.67,141.02,-0.7,0.08,NORMAL
3097.5,0.4514,771.76,337.23,146.65,46.03,21.78,OVERHEATING
3632.9,0.6457,902.3,424.77,178.01,33.22,23.32,OVERHEATING
4098.0,0.84,1008.4,491.47,229.03,-0.5,6.13,LUBRICATION_ISSUE
4032.69,0.8208,1024.75,491.14,204.9,30.63,14.67,OVERHEATING
3874.89,0.7263,930.76,439.78,188.1,1.25,2.07,NORMAL
4193.04,0.8674,1031.96,500.63,201.59,1.86,2.57,NORMAL
4029.19,0.8203,1039.27,490.35,203.33,45.61,14.16,OVERHEATING
4052.3,0.8395,1004.67,484.55,201.26,-1.62,0.77,NORMAL
4061.3,0.8558,1017.12,490.79,200.61,0.6,0.87,NORMAL
3614.8,0.6552,870.15,404.69,176.48,-3.69,0.39,NORMAL
3518.54,0.6162,844.73,385.62,168.35,-0.93,-1.77,NORMAL
3639.84,0.6453,891.23,421.25,175.4,22.07,19.75,OVERHEATING
4118.9,0.8312,1012.28,482.15,199.69,7.62,-0.65,NORMAL
3868.39,0.7552,948.12,452.88,217.24,1.58,4.95,LUBRICATION_ISSUE
3534.21,0.5921,835.67,379.59,165.65,3.72,0.42,NORMAL
2896.86,0.3527,657.91,274.05,132.41,1.42,0.15,NORMAL
3937.53,0.7741,967.39,463.71,221.56,6.08,6.93,LUBRICATION_ISSUE
3117.18,0.4521,729.75,323.74,165.09,2.6,7.45,LUBRICATION_ISSUE
3986.19,0.7795,1003.99,485.19,196.37,37.0,24.99,OVERHEATING
4041.92,0.82,1035.68,489.02,200.81,41.58,12.56,OVERHEATING
3721.22,0.6704,913.23,433.69,180.95,24.94,20.71,OVERHEATING
3253.99,0.4822,759.99,338.59,181.39,7.98,7.39,LUBRICATION_ISSUE
3300.14,0.545,791.73,354.89,157.91,-0.26,-0.3,NORMAL
2964.39,0.3916,684.41,298.03,167.18,1.24,8.13,LUBRICATION_ISSUE
3819.68,0.7445,938.06,446.1,205.36,0.37,3.49,LUBRICATION_ISSUE
3465.41,0.5886,833.45,376.45,166.64,7.0,0.58,NORMAL
3335.1,0.534,788.98,349.42,153.99,1.8,-2.89,NORMAL
3873.28,0.7517,970.68,471.96,193.64,26.02,25.17,OVERHEATING
2838.75,0.3529,649.44,270.76,130.41,-4.22,-1.44,NORMAL
3851.07,0.7356,974.9,456.74,189.49,40.99,16.4,OVERHEATING
3017.39,0.4086,695.53,306.5,160.28,-0.51,8.88,LUBRICATION_ISSUE
4160.23,0.884,1035.5,502.78,200.14,-2.88,-0.25,NORMAL
3156.59,0.4703,773.31,337.71,150.94,33.29,13.7,OVERHEATING
4220.23,0.8926,1089.72,526.94,201.89,43.14,19.0,OVERHEATING
4047.21,0.8129,1030.54,494.57,201.39,40.41,20.49,OVERHEATING
3185.92,0.4701,740.7,323.14,146.89,-0.66,-1.68,NORMAL
3005.93,0.4078,700.98,300.51,137.44,6.03,3.54,NORMAL
4326.51,0.9104,1093.1,529.81,201.11,30.56,12.28,OVERHEATING
3003.7,0.406,692.24,295.07,138.59,-1.52,-1.19,NORMAL
3302.47,0.5134,773.63,349.57,177.64,0.47,5.67,LUBRICATION_ISSUE
3991.65,0.7894,1017.23,479.26,199.64,44.0,15.32,OVERHEATING
3073.83,0.4217,711.5,311.63,164.32,4.76,7.59,LUBRICATION_ISSUE
2871.72,0.3432,653.87,271.11,131.08,4.37,1.41,NORMAL
3514.32,0.6034,838.61,386.86,188.9,0.87,4.22,LUBRICATION_ISSUE
3995.39,0.7755,1001.66,480.47,197.69,36.58,21.42,OVERHEATING
4030.15,0.8341,1041.9,507.17,199.45,39.91,25.98,OVERHEATING
4314.8,0.9117,1093.41,533.71,198.37,30.63,16.03,OVERHEATING
2749.26,0.3106,627.32,255.61,127.67,3.52,1.33,NORMAL
3987.28,0.7863,976.6,469.37,224.44,5.44,6.67,LUBRICATION_ISSUE
3575.41,0.6231,854.83,397.57,200.56,2.17,5.97,LUBRICATION_ISSUE
3960.94,0.7784,985.08,477.88,197.98,20.0,18.84,OVERHEATING
3868.46,0.7674,971.54,471.14,194.03,17.7,18.84,OVERHEATING
3453.32,0.5831,822.92,373.18,164.53,0.38,-0.35,NORMAL
3251.51,0.4867,755.27,342.24,182.44,0.67,9.48,LUBRICATION_ISSUE
3365.43,0.5542,802.88,366.65,188.47,2.1,6.18,LUBRICATION_ISSUE
3794.87,0.7019,913.29,432.08,209.09,2.43,5.56,LUBRICATION_ISSUE
3512.13,0.6091,844.19,385.3,167.71,3.15,0.68,NORMAL
4250.6,0.8991,1093.71,528.2,202.93,41.72,17.01,OVERHEATING
3048.51,0.4136,729.32,322.76,142.66,28.75,22.42,OVERHEATING
3936.14,0.7667,989.19,472.2,195.82,32.37,18.11,OVERHEATING
3843.34,0.7386,972.73,461.53,192.23,37.43,20.35,OVERHEATING
3404.98,0.5694,811.09,377.81,186.61,-0.83,10.66,LUBRICATION_ISSUE
2899.02,0.3588,665.74,277.73,157.06,5.52,1.6,LUBRICATION_ISSUE
4306.38,0.9184,1098.67,534.47,198.79,32.29,14.64,OVERHEATING
3002.61,0.3842,683.07,297.14,153.62,2.39,8.74,LUBRICATION_ISSUE
3758.5,0.6978,931.97,453.09,185.12,25.34,29.12,OVERHEATING
3052.4,0.4287,706.13,313.03,158.46,-3.73,7.11,LUBRICATION_ISSUE
4174.08,0.8811,1038.63,506.54,198.4,1.27,4.13,NORMAL
4038.33,0.8198,1037.25,488.26,205.03,43.44,11.98,OVERHEATING
3226.42,0.4924,761.46,341.18,181.69,4.67,7.11,LUBRICATION_ISSUE
3709.85,0.6749,892.24,412.21,177.72,1.84,-2.03,NORMAL
3166.71,0.4551,778.52,331.4,148.84,47.1,12.55,OVERHEATING
3207.93,0.4826,749.73,339.17,169.81,-0.21,9.21,LUBRICATION_ISSUE
3666.82,0.6619,881.89,409.33,174.63,1.4,1.04,NORMAL
4133.34,0.865,1067.15,522.11,202.66,41.5,26.71,OVERHEATING
3599.13,0.6318,859.61,395.38,171.22,0.58,-0.04,NORMAL
4184.46,0.8629,1073.41,508.07,202.58,46.45,11.9,OVERHEATING
