timestamp,rpm,throttle,egt,cht,oil_temp,fault_active,egt_expected,cht_expected,res_egt,res_cht
14.5,3480.34,0.5974,835.33,378.49,164.17,False,832.46,379.47,2.87,-0.98
15.0,3510.86,0.5917,829.79,377.04,166.37,False,830.56,378.34,-0.77,-1.3
15.5,3549.22,0.623,857.19,392.28,173.4,False,851.26,390.76,5.93,1.52
16.0,3515.23,0.617,855.61,393.58,169.11,False,845.96,387.58,9.65,6.0
16.5,3519.19,0.6165,842.51,390.12,168.61,False,845.86,387.52,-3.35,2.6
17.0,3570.08,0.6253,860.4,392.29,171.96,False,853.68,392.21,6.72,0.08
17.5,3507.54,0.6098,835.98,382.61,167.75,False,841.26,384.75,-5.28,-2.14
18.0,3611.01,0.6442,864.59,399.23,175.41,False,867.07,400.24,-2.48,-1.01
18.5,3609.33,0.645,864.12,399.89,174.01,False,867.47,400.48,-3.35,-0.59
19.0,3616.29,0.6458,869.34,408.47,177.39,False,868.29,400.98,1.05,7.49
19.5,3570.18,0.6398,860.89,399.25,175.18,False,862.39,397.43,-1.5,1.82
20.0,3569.93,0.6452,866.92,397.45,172.49,False,865.62,399.37,1.3,-1.92
20.5,3583.96,0.6476,862.21,408.11,171.33,False,867.76,400.65,-5.55,7.46
21.0,3681.25,0.6493,864.86,401.32,174.83,False,873.64,404.19,-8.78,-2.87
21.5,3698.0,0.6812,897.73,417.61,178.02,False,893.62,416.17,4.11,1.44
22.0,3660.3,0.666,881.54,410.42,175.46,False,882.62,409.57,-1.08,0.85
22.5,3691.6,0.6754,891.42,413.96,177.93,False,889.82,413.89,1.6,0.07
23.0,3664.59,0.6666,893.76,414.7,177.43,False,883.19,409.91,10.57,4.79
23.5,3696.76,0.6692,886.47,412.53,173.54,False,886.36,411.81,0.11,0.72
24.0,3700.01,0.6889,897.08,420.46,179.99,False,898.34,419.0,-1.26,1.46
24.5,3693.26,0.6793,893.27,419.92,173.37,False,892.24,415.35,1.03,4.57
25.0,3711.74,0.6823,892.83,411.54,179.59,False,894.97,416.98,-2.14,-5.44
25.5,3777.89,0.7042,908.93,426.16,180.01,False,911.41,426.85,-2.48,-0.69
26.0,3725.96,0.6857,905.81,421.82,180.31,False,897.72,418.63,8.09,3.19
26.5,3787.62,0.7084,912.12,428.36,181.33,False,914.42,428.65,-2.3,-0.29
27.0,3772.18,0.7026,908.44,429.15,183.38,False,910.17,426.1,-1.73,3.05
27.5,3749.75,0.7125,916.21,426.41,182.27,False,914.99,428.99,1.22,-2.58
28.0,3762.89,0.7107,910.22,429.27,180.63,False,914.56,428.74,-4.34,0.53
28.5,3748.37,0.6901,903.37,413.32,180.67,False,901.48,420.89,1.89,-7.57
29.0,3778.66,0.6985,896.12,422.09,182.47,False,908.03,424.82,-11.91,-2.73
29.5,3714.39,0.6828,899.27,415.31,180.63,False,895.4,417.24,3.87,-1.93
30.0,3779.52,0.7099,916.05,426.23,182.65,False,914.92,428.95,1.13,-2.72
30.5,3765.4,0.6982,900.87,423.32,184.2,False,907.19,424.31,-6.32,-0.99
31.0,3735.29,0.6925,906.28,421.27,183.07,False,902.26,421.36,4.02,-0.09
31.5,3782.5,0.7086,925.35,427.61,178.73,False,914.29,428.57,11.06,-0.96
32.0,3791.94,0.7159,925.59,426.62,181.3,False,919.14,431.48,6.45,-4.86
32.5,3717.66,0.6835,898.19,418.17,176.29,False,895.98,417.59,2.21,0.58
33.0,3680.46,0.676,892.37,416.15,178.29,False,889.62,413.77,2.75,2.38
33.5,3775.54,0.706,908.31,426.56,182.76,False,912.38,427.43,-4.07,-0.87
34.0,3774.69,0.7057,910.31,426.63,183.99,False,912.15,427.29,-1.84,-0.66
34.5,3661.63,0.6765,878.8,412.25,179.59,False,888.98,413.39,-10.18,-1.14
35.0,3752.65,0.6923,908.59,420.96,183.1,False,903.01,421.81,5.58,-0.85
35.5,3724.83,0.6947,896.25,419.52,180.01,False,903.06,421.84,-6.81,-2.32
36.0,3722.83,0.7002,909.6,421.46,182.48,False,906.26,423.76,3.34,-2.3
36.5,3741.19,0.689,896.54,418.13,177.77,False,900.46,420.28,-3.92,-2.15
37.0,3700.81,0.6818,895.98,417.69,181.51,False,894.12,416.47,1.86,1.22
37.5,3728.34,0.6828,893.37,420.36,179.77,False,896.1,417.66,-2.73,2.7
38.0,3745.47,0.6826,905.25,417.13,179.29,False,896.83,418.1,8.42,-0.97
38.5,3737.01,0.6921,901.67,422.02,178.69,False,902.11,421.27,-0.44,0.75
39.0,3634.63,0.6628,878.23,407.44,179.98,False,879.41,407.65,-1.18,-0.21
39.5,3724.17,0.6869,895.96,417.94,179.97,False,898.35,419.01,-2.39,-1.07
40.0,3718.73,0.679,886.55,415.38,183.65,False,893.34,416.0,-6.79,-0.62
40.5,3681.37,0.6718,889.97,412.07,177.07,False,887.15,412.29,2.82,-0.22
41.0,3629.0,0.6584,880.68,409.67,176.2,False,876.49,405.89,4.19,3.78
41.5,3643.34,0.6598,883.04,401.52,175.0,False,878.05,406.83,4.99,-5.31
42.0,3624.91,0.6391,867.79,395.83,169.66,False,864.71,398.82,3.08,-2.99
42.5,3612.03,0.6255,855.63,390.39,171.62,False,855.9,393.54,-0.27,-3.15
43.0,3590.64,0.6355,860.28,398.8,172.83,False,860.83,396.5,-0.55,2.3
43.5,3651.88,0.6536,881.98,401.39,172.99,False,874.75,404.85,7.23,-3.46
44.0,3667.84,0.6559,873.32,409.68,175.37,False,876.93,406.16,-3.61,3.52
44.5,3594.37,0.6406,859.76,397.33,173.8,False,864.08,398.45,-4.32,-1.12
45.0,3533.64,0.6178,853.62,381.54,168.0,False,847.36,388.42,6.26,-6.88
45.5,3534.39,0.6118,842.64,385.36,168.39,False,843.8,386.28,-1.16,-0.92
46.0,3578.5,0.6257,856.98,393.35,171.85,False,854.35,392.61,2.63,0.74
46.5,3552.28,0.6216,849.13,388.14,168.07,False,850.57,390.34,-1.44,-2.2
47.0,3501.08,0.601,837.39,381.59,165.61,False,835.65,381.39,1.74,0.2
47.5,3539.58,0.6171,844.14,390.09,169.86,False,847.24,388.34,-3.1,1.75
48.0,3475.63,0.5882,821.92,376.42,162.37,False,826.7,376.02,-4.78,0.4
48.5,3520.97,0.6104,844.36,378.3,166.2,False,842.29,385.37,2.07,-7.07
49.0,3485.27,0.5884,836.57,372.42,163.64,False,827.3,376.38,9.27,-3.96
49.5,3445.17,0.5878,827.43,381.18,161.93,False,824.94,374.96,2.49,6.22
50.0,3406.42,0.5667,814.94,367.25,158.63,False,810.34,366.2,4.6,1.05
50.5,3472.07,0.5786,816.37,369.79,164.98,False,820.76,372.46,-4.39,-2.67
51.0,3403.62,0.5749,819.52,366.99,163.84,False,815.12,369.07,4.4,-2.08
51.5,3350.84,0.5468,790.01,360.0,159.77,False,795.62,357.37,-5.61,2.63
52.0,3362.46,0.5485,797.83,359.41,158.29,False,797.22,358.33,0.61,1.08
52.5,3373.99,0.5529,807.66,357.38,155.34,False,800.44,360.26,7.22,-2.88
53.0,3386.19,0.5577,794.66,361.68,160.3,False,803.93,362.36,-9.27,-0.68
53.5,3344.23,0.5331,789.09,347.4,158.69,False,787.07,352.24,2.02,-4.84
54.0,3365.11,0.5487,797.13,360.55,156.11,False,797.48,358.49,-0.35,2.06
54.5,3344.55,0.523,778.33,352.53,153.63,False,781.03,348.62,-2.7,3.91
55.0,3283.55,0.5204,778.16,350.0,154.81,False,776.42,345.85,1.74,4.15
55.5,3208.48,0.4906,753.98,333.17,147.73,False,754.78,332.87,-0.8,0.3
56.0,3200.4,0.4843,738.32,333.04,150.77,False,750.6,330.36,-12.28,2.68
56.5,3232.37,0.4863,754.29,338.67,151.35,False,753.4,332.04,0.89,6.63
57.0,3241.64,0.4901,758.46,336.96,150.02,False,756.14,333.69,2.32,3.27
57.5,3202.52,0.4747,751.63,325.11,147.98,False,744.95,326.97,6.68,-1.86
58.0,3206.33,0.4749,733.05,324.11,147.3,False,745.26,327.15,-12.21,-3.04
58.5,3084.87,0.4413,718.91,315.29,143.49,False,719.02,311.41,-0.11,3.88
59.0,3138.03,0.4468,719.06,311.63,145.91,False,724.98,314.99,-5.92,-3.36
59.5,3118.56,0.4475,727.97,311.57,144.87,False,724.43,314.66,3.54,-3.09
60.0,3069.3,0.4402,722.59,310.45,141.79,False,717.59,310.55,5.0,-0.1
60.5,3039.23,0.4339,707.12,305.99,145.84,False,712.3,307.38,-5.18,-1.39
61.0,3052.86,0.4303,706.34,308.51,142.51,False,710.82,306.49,-4.48,2.02
61.5,3069.19,0.4255,709.24,307.4,143.3,False,708.76,305.26,0.48,2.14
62.0,3010.72,0.3963,693.24,289.32,133.74,False,688.32,292.99,4.92,-3.67
62.5,3050.87,0.406,696.91,295.48,137.08,False,696.14,297.69,0.77,-2.21
63.0,2973.68,0.3976,698.5,298.31,139.92,False,687.24,292.35,11.26,5.96
63.5,2964.72,0.3808,678.27,289.38,136.48,False,676.72,286.03,1.55,3.35
64.0,2981.54,0.3899,673.75,289.85,135.42,False,683.02,289.81,-9.27,0.04
64.5,2940.1,0.3622,669.4,278.33,135.22,False,664.33,278.6,5.07,-0.27
65.0,2897.29,0.3677,668.54,280.11,130.71,False,665.48,279.29,3.06,0.82
65.5,2934.91,0.3596,665.17,276.45,132.64,False,662.51,277.5,2.66,-1.05
66.0,2861.15,0.3531,655.26,271.37,128.7,False,654.92,272.95,0.34,-1.58
66.5,2840.26,0.3504,653.43,275.41,132.93,False,652.25,271.35,1.18,4.06
67.0,2853.57,0.3482,647.02,272.5,131.25,False,651.6,270.96,-4.58,1.54
67.5,2856.07,0.3435,642.81,268.46,130.24,False,648.9,269.34,-6.09,-0.88
68.0,2808.35,0.3213,630.43,257.89,127.21,False,633.2,259.92,-2.77,-2.03
68.5,2785.69,0.3121,620.57,254.32,128.13,False,626.54,255.93,-5.97,-1.61
69.0,2706.05,0.2973,615.7,249.43,122.88,False,613.68,248.21,2.02,1.22
69.5,2792.82,0.314,635.43,253.19,124.76,False,628.04,256.82,7.39,-3.63
70.0,2711.57,0.2872,615.38,250.46,120.98,False,607.9,244.74,7.48,5.72
70.5,2802.14,0.3068,621.98,253.86,125.22,False,624.19,254.51,-2.21,-0.65
71.0,2767.46,0.3126,631.51,254.91,124.35,False,625.93,255.56,5.58,-0.65
71.5,2713.31,0.2831,605.31,244.16,121.9,False,605.53,243.32,-0.22,0.84
72.0,2600.05,0.2479,572.5,227.65,116.11,False,578.74,227.25,-6.24,0.4
72.5,2607.22,0.2536,581.84,228.57,116.68,False,582.52,229.51,-0.68,-0.94
73.0,2656.37,0.2568,586.46,226.01,113.31,False,586.9,232.14,-0.44,-6.13
73.5,2616.27,0.2473,579.18,228.27,117.76,False,579.19,227.52,-0.01,0.75
74.0,2552.98,0.2299,568.15,223.76,112.48,False,565.59,219.35,2.56,4.41
74.5,2507.64,0.2097,549.26,210.0,110.49,False,551.2,210.72,-1.94,-0.72
75.0,2550.02,0.2254,559.11,219.49,109.61,False,562.74,217.64,-3.63,1.85
75.5,2562.87,0.2263,572.03,216.59,116.94,False,563.92,218.35,8.11,-1.76
76.0,2536.87,0.2142,549.91,210.92,111.85,False,555.36,213.22,-5.45,-2.3
76.5,2560.06,0.2161,562.48,218.32,112.4,False,557.66,214.6,4.82,3.72
77.0,2539.76,0.2184,554.04,215.38,110.53,False,558.03,214.82,-3.99,0.56
77.5,2496.61,0.2,547.07,206.3,109.15,False,544.83,206.9,2.24,-0.6
78.0,2523.31,0.2,553.24,207.93,110.18,False,546.17,207.7,7.07,0.23
78.5,2518.81,0.2,549.33,207.63,110.77,False,545.94,207.56,3.39,0.07
79.0,2505.79,0.2,543.22,208.01,103.14,False,545.29,207.17,-2.07,0.84
79.5,2465.53,0.2,547.26,208.43,106.68,False,543.28,205.97,3.98,2.46
80.0,2490.32,0.2,556.21,206.99,109.82,False,544.52,206.71,11.69,0.28
80.5,2479.95,0.2,544.45,206.89,106.27,False,544.0,206.4,0.45,0.49
81.0,2518.49,0.2,545.17,206.15,108.79,False,545.92,207.55,-0.75,-1.4
81.5,2480.01,0.2,539.79,210.31,108.18,False,544.0,206.4,-4.21,3.91
82.0,2509.27,0.2,537.35,207.69,110.47,False,545.46,207.28,-8.11,0.41
82.5,2471.91,0.2,546.66,206.09,108.03,False,543.6,206.16,3.06,-0.07
83.0,2535.89,0.2,551.57,206.67,109.71,False,546.79,208.08,4.78,-1.41
83.5,2502.62,0.2,549.12,206.82,107.54,False,545.13,207.08,3.99,-0.26
84.0,2500.06,0.2,546.7,209.01,108.25,False,545.0,207.0,1.7,2.01
84.5,2475.3,0.2,552.21,205.5,105.69,False,543.76,206.26,8.45,-0.76
85.0,2501.04,0.2,543.63,205.99,110.24,False,545.05,207.03,-1.42,-1.04
85.5,2508.2,0.2,548.08,200.68,108.27,False,545.41,207.25,2.67,-6.57
86.0,2499.91,0.2,550.23,210.56,109.41,False,545.0,207.0,5.23,3.56
86.5,2489.44,0.2,544.99,209.96,107.88,False,544.47,206.68,0.52,3.28
87.0,2480.9,0.2,549.87,209.1,109.2,False,544.04,206.43,5.83,2.67
87.5,2489.25,0.2,547.71,204.13,109.88,False,544.46,206.68,3.25,-2.55
88.0,2502.19,0.2,557.23,202.87,111.94,False,545.11,207.07,12.12,-4.2
88.5,2502.37,0.2,547.22,206.54,111.91,False,545.12,207.07,2.1,-0.53
89.0,2487.11,0.2,544.7,203.78,109.91,False,544.36,206.61,0.34,-2.83
89.5,2496.06,0.2,539.43,206.31,105.81,False,544.8,206.88,-5.37,-0.57
90.0,2526.38,0.2,559.05,205.24,111.87,False,546.32,207.79,12.73,-2.55
90.5,2508.65,0.2,545.31,207.33,108.18,False,545.43,207.26,-0.12,0.07
91.0,2513.06,0.2,543.62,205.21,109.02,False,545.65,207.39,-2.03,-2.18
91.5,2486.88,0.2,551.13,211.74,109.99,False,544.34,206.61,6.79,5.13
92.0,2522.6,0.2,548.07,208.8,110.04,False,546.13,207.68,1.94,1.12
92.5,2472.88,0.2,541.03,210.91,110.68,False,543.64,206.19,-2.61,4.72
93.0,2476.96,0.2,543.8,207.31,109.16,False,543.85,206.31,-0.05,1.0
93.5,2507.04,0.2,540.06,208.35,109.01,False,545.35,207.21,-5.29,1.14
94.0,2496.32,0.2,543.65,212.31,108.8,False,544.82,206.89,-1.17,5.42
94.5,2482.12,0.2,543.68,204.94,111.76,False,544.11,206.46,-0.43,-1.52
95.0,2501.23,0.2,545.19,206.73,109.01,False,545.06,207.04,0.13,-0.31
95.5,2459.97,0.2,542.28,207.04,110.38,False,543.0,205.8,-0.72,1.24
96.0,2520.38,0.2,550.15,207.55,110.93,False,546.02,207.61,4.13,-0.06
96.5,2513.96,0.2,545.55,207.0,111.95,False,545.7,207.42,-0.15,-0.42
97.0,2476.26,0.2,543.18,206.24,105.99,False,543.81,206.29,-0.63,-0.05
97.5,2549.15,0.2,554.01,205.76,108.27,False,547.46,208.47,6.55,-2.71
98.0,2497.66,0.2,540.01,206.75,105.8,False,544.88,206.93,-4.87,-0.18
98.5,2507.32,0.2,547.09,203.04,110.71,False,545.37,207.22,1.72,-4.18
99.0,2499.79,0.2,538.12,206.05,109.73,False,544.99,206.99,-6.87,-0.94
99.5,2530.64,0.2,550.04,206.23,110.5,False,546.53,207.92,3.51,-1.69
100.0,2475.44,0.2,540.37,211.45,106.88,False,543.77,206.26,-3.4,5.19
100.5,2508.4,0.2,544.49,205.05,107.65,False,545.42,207.25,-0.93,-2.2
101.0,2545.63,0.2,546.49,209.66,108.02,False,547.28,208.37,-0.79,1.29
101.5,2446.97,0.2,538.11,201.57,104.5,False,542.35,205.41,-4.24,-3.84
102.0,2499.11,0.2,551.45,208.23,110.57,False,544.96,206.97,6.49,1.26
102.5,2514.57,0.2,542.12,208.68,110.13,False,545.73,207.44,-3.61,1.24
103.0,2476.32,0.2,545.43,207.98,107.41,False,543.82,206.29,1.61,1.69
103.5,2512.36,0.2,552.76,210.83,107.0,False,545.62,207.37,7.14,3.46
104.0,2520.9,0.2,545.34,205.76,105.38,False,546.04,207.63,-0.7,-1.87
104.5,2519.35,0.2,552.58,204.61,109.6,False,545.97,207.58,6.61,-2.97
105.0,2515.49,0.2,544.81,212.22,108.04,False,545.77,207.46,-0.96,4.76
105.5,2515.92,0.2,542.76,206.85,108.77,False,545.8,207.48,-3.04,-0.63
106.0,2513.0,0.2,547.97,211.61,111.9,False,545.65,207.39,2.32,4.22
106.5,2487.53,0.2,545.12,205.2,112.24,False,544.38,206.63,0.74,-1.43
107.0,2523.87,0.2,534.15,200.96,110.59,False,546.19,207.72,-12.04,-6.76
107.5,2473.47,0.2,544.88,213.01,110.65,False,543.67,206.2,1.21,6.81
108.0,2492.11,0.2,534.35,207.77,110.69,False,544.61,206.76,-10.26,1.01
108.5,2476.85,0.2,540.17,207.16,104.83,False,543.84,206.31,-3.67,0.85
109.0,2494.98,0.2,532.6,204.01,111.47,False,544.75,206.85,-12.15,-2.84
109.5,2476.4,0.2,549.02,204.97,109.81,False,543.82,206.29,5.2,-1.32
110.0,2495.94,0.2,546.88,202.54,111.38,False,544.8,206.88,2.08,-4.34
110.5,2499.56,0.2,537.19,207.69,110.93,False,544.98,206.99,-7.79,0.7
111.0,2502.92,0.2022,550.27,202.3,107.16,False,546.47,207.88,3.8,-5.58
111.5,2542.31,0.2136,564.18,214.33,112.29,False,555.28,213.17,8.9,1.16
112.0,2578.36,0.2377,574.49,224.73,113.42,False,571.54,222.92,2.95,1.81
112.5,2521.97,0.2062,545.81,212.43,109.68,False,549.82,209.89,-4.01,2.54
113.0,2524.05,0.22,561.23,221.42,112.83,False,558.2,214.92,3.03,6.5
113.5,2553.85,0.2248,561.73,216.67,114.43,False,562.57,217.54,-0.84,-0.87
114.0,2536.06,0.2175,559.54,211.22,114.19,False,557.3,214.38,2.24,-3.16
114.5,2603.61,0.2536,587.98,231.51,113.56,False,582.34,229.4,5.64,2.11
115.0,2629.3,0.2473,580.16,228.44,118.8,False,579.85,227.91,0.31,0.53
115.5,2659.36,0.2663,592.23,230.58,118.8,False,592.75,235.65,-0.52,-5.07
116.0,2689.5,0.2731,593.42,236.79,122.56,False,598.34,239.0,-4.92,-2.21
116.5,2617.27,0.2619,599.17,235.72,117.61,False,588.0,232.8,11.17,2.92
117.0,2723.22,0.2798,601.25,241.11,119.59,False,604.04,242.42,-2.79,-1.31
117.5,2692.89,0.2751,602.71,239.65,120.92,False,599.7,239.82,3.01,-0.17
118.0,2677.76,0.2836,611.95,247.49,119.42,False,604.05,242.43,7.9,5.06
118.5,2812.22,0.3171,630.05,257.3,125.56,False,630.87,258.52,-0.82,-1.22
119.0,2768.1,0.3058,617.14,255.49,126.18,False,621.88,253.13,-4.75,2.36
119.5,2783.45,0.3155,624.13,254.66,122.48,False,628.47,257.08,-4.34,-2.42
120.0,2787.56,0.3185,616.17,254.83,128.43,False,630.48,258.29,-14.31,-3.46
120.5,2764.08,0.3168,636.84,257.36,126.51,False,628.28,256.97,8.56,0.39
121.0,2878.7,0.3539,653.64,272.98,132.34,False,656.27,273.76,-2.63,-0.78
121.5,2871.7,0.3369,643.71,273.47,129.04,False,645.73,267.44,-2.01,6.04
122.0,2927.27,0.3632,659.7,275.43,133.58,False,664.28,278.57,-4.58,-3.14
122.5,2880.84,0.3626,656.1,273.46,129.05,False,661.6,276.96,-5.5,-3.5
123.0,2902.87,0.3613,650.61,276.57,132.06,False,661.92,277.15,-11.31,-0.58
123.5,2963.61,0.3886,690.24,290.38,137.47,False,681.34,288.8,8.9,1.58
124.0,2956.1,0.3762,668.71,286.29,131.81,False,673.52,284.12,-4.81,2.18
124.5,2952.27,0.3858,679.62,285.97,133.8,False,679.09,287.46,0.53,-1.49
125.0,2972.73,0.3865,674.47,290.27,133.68,False,680.54,288.32,-6.07,1.95
125.5,3006.21,0.3919,685.77,289.83,137.82,False,685.45,291.27,0.32,-1.44
126.0,2999.88,0.384,679.04,287.23,136.77,False,680.39,288.24,-1.35,-1.01
126.5,3020.1,0.4215,706.64,301.21,143.74,False,703.9,302.34,2.74,-1.13
127.0,3016.83,0.4169,688.49,300.64,140.07,False,700.98,300.59,-12.49,0.05
127.5,3082.12,0.4233,706.01,297.71,142.61,False,708.09,304.85,-2.08,-7.14
128.0,3120.93,0.4405,713.55,317.65,141.96,False,720.35,312.21,-6.8,5.44
128.5,3106.13,0.4499,733.76,314.92,146.91,False,725.25,315.15,8.51,-0.23
129.0,3157.73,0.4522,726.65,311.36,143.96,False,729.21,317.52,-2.56,-6.16
129.5,3125.42,0.4627,731.84,319.53,146.36,False,733.89,320.33,-2.05,-0.8
130.0,3112.37,0.4508,730.67,318.52,145.07,False,726.1,315.66,4.57,2.86
130.5,3153.47,0.4679,733.51,320.72,146.58,False,738.41,323.05,-4.9,-2.33
131.0,3183.25,0.4675,730.98,323.42,147.34,False,739.66,323.8,-8.68,-0.38
131.5,3195.23,0.4897,748.74,333.12,153.07,False,753.58,332.15,-4.84,0.97
132.0,3202.09,0.4713,740.94,326.68,146.94,False,742.88,325.73,-1.94,0.95
132.5,3201.53,0.4994,766.75,334.27,151.5,False,759.72,335.83,7.03,-1.56
133.0,3230.85,0.4937,754.31,335.91,152.5,False,757.76,334.66,-3.45,1.25
133.5,3325.98,0.5178,770.04,345.06,157.34,False,776.98,346.19,-6.94,-1.13
134.0,3329.0,0.5341,794.01,353.86,157.84,False,786.91,352.15,7.1,1.71
134.5,3321.01,0.5261,780.16,348.72,156.44,False,781.71,349.03,-1.55,-0.31
135.0,3378.87,0.5282,774.08,350.75,155.07,False,785.86,351.52,-11.78,-0.77
135.5,3383.84,0.5474,802.77,358.71,161.64,False,797.63,358.58,5.14,0.13
136.0,3319.48,0.5248,785.86,344.62,154.43,False,780.85,348.51,5.01,-3.89
136.5,3396.08,0.5562,808.64,356.64,162.59,False,803.52,362.11,5.12,-5.47
137.0,3373.5,0.5612,809.36,356.87,162.67,False,805.39,363.24,3.97,-6.37
137.5,3378.71,0.5524,806.37,359.78,158.72,False,800.38,360.23,5.99,-0.45
138.0,3431.89,0.5685,810.21,366.57,159.29,False,812.69,367.62,-2.48,-1.05
138.5,3473.74,0.5835,823.67,380.97,162.4,False,823.79,374.27,-0.12,6.7
139.0,3485.13,0.5845,820.3,374.94,164.76,False,824.96,374.97,-4.66,-0.03
139.5,3483.71,0.5942,822.8,378.88,167.06,False,830.71,378.42,-7.91,0.46
140.0,3506.83,0.5948,833.07,376.57,165.69,False,832.22,379.33,0.85,-2.76
140.5,3458.45,0.5877,832.21,373.72,166.49,False,825.54,375.33,6.67,-1.61
141.0,3504.1,0.6028,841.37,380.6,164.26,False,836.89,382.13,4.48,-1.53
141.5,3474.19,0.5997,836.81,379.46,171.7,False,833.53,380.12,3.28,-0.66
142.0,3480.72,0.6013,833.49,382.0,162.54,False,834.82,380.89,-1.33,1.11
142.5,3556.24,0.6261,855.24,395.44,170.46,False,853.47,392.08,1.77,3.36
143.0,3570.0,0.6229,851.02,387.91,170.57,False,852.24,391.34,-1.22,-3.43
143.5,3581.19,0.6276,848.34,396.16,168.21,False,855.62,393.37,-7.28,2.79
144.0,3601.23,0.6315,858.31,391.87,170.51,False,858.96,395.38,-0.65,-3.51
144.5,3606.48,0.6433,866.25,399.2,170.4,False,866.3,399.78,-0.05,-0.58
145.0,3577.03,0.6418,864.33,396.71,173.28,False,863.93,398.36,0.4,-1.65
145.5,3628.18,0.6472,862.68,403.55,172.3,False,869.73,401.84,-7.05,1.71
146.0,3613.57,0.6494,875.25,400.15,172.92,False,870.32,402.19,4.93,-2.04
146.5,3653.07,0.6524,876.16,408.94,179.14,False,874.09,404.46,2.07,4.48
147.0,3607.46,0.6524,869.1,401.9,172.48,False,871.81,403.09,-2.71,-1.19
147.5,3614.97,0.6557,879.61,402.49,180.7,False,874.17,404.5,5.44,-2.01
148.0,3636.84,0.6651,890.73,412.68,177.03,False,880.9,408.54,9.83,4.14
148.5,3625.94,0.6593,885.34,409.24,175.8,False,876.88,406.13,8.46,3.11
149.0,3642.47,0.6515,878.39,406.72,171.28,False,873.02,403.81,5.37,2.91
149.5,3671.15,0.6817,894.21,417.37,178.25,False,892.58,415.55,1.63,1.82
150.0,3650.65,0.6629,879.85,406.66,175.23,False,880.27,408.16,-0.42,-1.5
150.5,3702.7,0.6835,893.5,417.61,175.27,False,895.24,417.14,-1.74,0.47
151.0,3728.33,0.691,905.79,414.73,176.25,False,901.02,420.61,4.77,-5.88
151.5,3731.25,0.6911,898.77,422.64,182.08,False,901.22,420.73,-2.45,1.91
152.0,3695.89,0.6952,907.88,426.08,182.1,False,901.91,421.15,5.97,4.93
152.5,3725.64,0.6834,903.24,414.64,178.64,False,896.32,417.79,6.92,-3.15
153.0,3730.79,0.7013,910.48,426.78,181.86,False,907.32,424.39,3.16,2.39
153.5,3773.07,0.6974,901.11,421.61,181.15,False,907.09,424.26,-5.98,-2.65
154.0,3736.89,0.7052,901.11,426.88,180.02,False,909.96,425.98,-8.85,0.9
154.5,3721.33,0.6937,904.06,420.85,181.93,False,902.29,421.37,1.77,-0.52
155.0,3754.45,0.7031,914.99,427.04,179.16,False,909.58,425.75,5.41,1.29
